job_id,job_title,company,experience,salary,location,job_age,skills
1,Research Software Developer (computer Vision),Resson,2-6 Yrs,Not disclosed,Navi Mumbai,14 DAYS AGO,Object Detection|Algorithm Development|C++|Pattern Recognition|Algorithms|Opencv|Image Processing|Computer Vision
2,Bangalore - Full Stack Developer (0-2 Yrs)(java / Python),Soft Suave Technologies Private Limited,0-2 Yrs,300000 PA.,Bengaluru,3 DAYS AGO,Java|CSS|Software Development|Software Engineering|OOPS|Programming|HTML|J2Ee
3,Python Developer,bitmonksoftware,0-1 Yrs,Not disclosed,Bengaluru,3 DAYS AGO,OOPS|Python
4,Non-fresher/bca Welcome - Trainee/jr. Developer For Python,VERTS Services India Private Limited,0-2 Yrs,Not disclosed,Noida,9 DAYS AGO,Go Getter|Communication Skills|Postgresql|MySQL|Programming|Fresher|Python
5,Hiring Python Developers,WELLS FARGO EGS (India) PRIVATE LIMITED,6-10 Yrs,1300000 - 2300000 PA.,Bengaluru| Hyderabad,3 DAYS AGO,Pyspark|Artificial Intelligence|Hadoop|SCALA|Big Data|Data Analysis|Data Analytics|Clustering
6,Python developer,HUSYS CONSULTING LIMITED,0-2 Yrs,Not disclosed,Hyderabad,10 DAYS AGO,Python
7,Python Developer,Anveshak Technology and Knowledge Solutions,0-4 Yrs,150000 - 450000 PA.,Pune,14 DAYS AGO,postgresql|Django|Python
8,PHP  Android iosand Python Developer Seographic/web Designer,Creative Hands HR Consultancy,0-5 Yrs,400000 - 600000 PA.,Chennai| Mumbai| Ahmedabad| Bengaluru| Hyderabad| Kolkata,1 DAY AGO,CSS|btech|software|freshers|Finance|android|ios developer|technopark
9,Software Developer - Node.js/python,SUN Mobility,4-8 Yrs,Not disclosed,Bengaluru,11 DAYS AGO,MQTT|AngularJS|C++|C|Open Source|RFID|Node.js|Distributed Systems
10,Data Science Engineer - Machine/deep Learning Models - R/python/scala,CarbyneTech India,4-8 Yrs,Not disclosed,Hyderabad,14 DAYS AGO,Data Science|Tensorflow|R|Artificial Intelligence|Scala|Time Series Forecasting|Big Data|Machine Learning
11,Python Microservices - (Docker Kubernetes ) Developer,Oracle India Pvt. Ltd.,3-8 Yrs,Not disclosed,Bengaluru| Noida,1 DAY AGO,Jenkins|Kibana|Scalability|Docker|Linux|Mircoservices|AWS|Kubernetes
12,Python Developer,Oracle India Pvt. Ltd.,10-16 Yrs,1500000 - 3000000 PA.,Noida,2 DAYS AGO,Jenkins|Software Development|Rest|Design Development|Quality Improvement|Continuous Integration|Hudson|Computer Science
13,Python Developer (DM 1671 ),Oodles Technologies Pvt Ltd,0-1 Yrs,Not disclosed,Gurgaon,1 DAY AGO,Presentation Skills|Analytical Skills|Django|Python|Flask
14,Python FullStack Developer,Mindtree Limited,5-10 Yrs,Not disclosed,Bengaluru(Hebbal),2 DAYS AGO,Django|Angular|Python|Flask
15,Data Scientist - Machine Learning/Artificial Intelligence/ Python,Careerera,4-6 Yrs,Not disclosed,Bengaluru,8 DAYS AGO,Data analysis|Image processing|Coding|Bfsi|Machine learning|Data structures|CMMI|Customer support
16,Genpact is hiring - Python Developer,HEADSTRONG SERVICES INDIA PRIVATE LIMITED,5-8 Yrs,Not disclosed,Bengaluru,3 DAYS AGO,ETL|Python
17,Python Developer,Mphasis Limited,3-5 Yrs,Not disclosed,Bengaluru,8 DAYS AGO,CSS|Django|UI Development|Programming|HTML|Rest Api|JQuery|AWS
18,SAS Python Developer,Standard Chartered Bank Ltd,2-6 Yrs,Not disclosed,Bengaluru,8 DAYS AGO,GIT|Linux|Shell scripting|Agile|SAS Programming|SCM|Risk management|Analytics
19,Python Developer ( DM 1629 ),Oodles Technologies Pvt Ltd,0-2 Yrs,Not disclosed,Gurgaon,12 DAYS AGO,Presentation Skills|Analytical Skills|Django|Python|Flask
20,Python Developer,Fugetron Corporation,0-1 Yrs,175000 - 300000 PA.,Mumbai(Saki Vihar +1),15 DAYS AGO,Data Transformation|NoSQL|Oracle SQL|Third Party|AWS|Numpy|Python|Data Integration
21,Full Stack Developer - Python,IBM India Pvt. Limited,3-6 Yrs,Not disclosed,Bengaluru,3 DAYS AGO,Java|AngularJS|CSS|HTML|SQL|Application Development|Software Development|JavaScript
22,Python Developer (DM 1671 ),Oodles Technologies Pvt Ltd,0-1 Yrs,Not disclosed,Gurgaon,1 DAY AGO,Presentation Skills|Analytical Skills|Django|Python|Flask
23,Python FullStack Developer,Mindtree Limited,5-10 Yrs,Not disclosed,Bengaluru(Hebbal),2 DAYS AGO,Django|Angular|Python|Flask
24,Data Scientist - Machine Learning/Artificial Intelligence/ Python,Careerera,4-6 Yrs,Not disclosed,Bengaluru,8 DAYS AGO,Data analysis|Image processing|Coding|Bfsi|Machine learning|Data structures|CMMI|Customer support
25,Genpact is hiring - Python Developer,HEADSTRONG SERVICES INDIA PRIVATE LIMITED,5-8 Yrs,Not disclosed,Bengaluru,3 DAYS AGO,ETL|Python
26,Python Developer,Mphasis Limited,3-5 Yrs,Not disclosed,Bengaluru,8 DAYS AGO,CSS|Django|UI Development|Programming|HTML|Rest Api|JQuery|AWS
27,SAS Python Developer,Standard Chartered Bank Ltd,2-6 Yrs,Not disclosed,Bengaluru,8 DAYS AGO,GIT|Linux|Shell scripting|Agile|SAS Programming|SCM|Risk management|Analytics
28,Python Developer ( DM 1629 ),Oodles Technologies Pvt Ltd,0-2 Yrs,Not disclosed,Gurgaon,12 DAYS AGO,Presentation Skills|Analytical Skills|Django|Python|Flask
